,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
80,81,True,585.59852093688,343.920695912621,80.0,0.0,679.122281183943,True,495.984840115973,456.09743850802,80.0,0.0,673.814392127717,True,579.496368415402,464.950765978953,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
81,82,True,583.367366209988,343.329917238453,81.0,0.0,676.899487390662,True,495.747677938742,456.946525084236,81.0,0.0,674.215015383233,True,579.111185452458,463.689683339782,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
82,83,True,580.733520892963,342.640543404701,82.0,0.0,674.280330629187,True,495.174066015352,458.620220057254,82.0,0.0,674.929523653797,True,578.78120425851,462.679015849974,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
83,84,True,579.685071427728,342.195689679252,83.0,0.0,673.151299539137,True,494.440483455282,459.973222013707,83.0,0.0,675.312340068775,True,578.269999480408,462.10280304451504,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
84,85,True,578.462689140281,341.670852326623,84.0,0.0,671.831864425175,True,493.720248676946,460.964892037375,84.0,0.0,675.461557488399,True,577.191735817602,460.503874965887,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
85,86,True,577.551017187632,341.224342819236,85.0,0.0,670.819819017661,True,492.820115311416,462.289884349431,85.0,0.0,675.709703369256,True,576.570846391711,458.725630980804,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
86,87,True,577.244495852501,341.000646583741,86.0,0.0,670.442129465726,True,492.671164380809,463.131750110202,86.0,0.0,676.177413237444,True,576.176912520593,455.127410228638,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
87,88,True,576.099378391607,340.313321463155,87.0,0.0,669.106606265758,True,492.907863200762,464.915192573895,87.0,0.0,677.5723562035,True,576.237118065013,451.368988574028,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
88,89,True,574.725137699226,339.426179742198,88.0,0.0,667.472183238955,True,492.791632677535,466.750342446555,88.0,0.0,678.748462547774,True,576.959854722115,448.676726968344,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
89,90,True,572.207024529659,338.073180076382,89.0,0.0,664.615944744063,True,492.51926787627696,468.575315364047,89.0,0.0,679.807366389847,True,578.163883542917,447.163168211408,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
90,91,True,569.08894631418,336.350125241168,90.0,0.0,661.054941413142,False,492.52113882439295,471.611819737648,90.0,0.0,681.905257865881,True,579.303181683026,445.841777637708,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
91,92,True,567.805296286255,335.721114284467,91.0,0.0,659.62983639851,False,492.21535906446303,473.08227720610495,91.0,0.0,682.702571187096,True,581.560945334,443.023893406302,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
92,93,True,565.621606959038,334.797439535307,92.0,0.0,657.280098419481,False,492.262371293617,475.046975673358,92.0,0.0,684.099313906993,True,582.700281471183,441.655577581318,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
93,94,True,563.589196227333,333.977409455863,93.0,0.0,655.113495610509,False,492.24340815132894,476.637549724371,93.0,0.0,685.191160681228,True,583.928932962147,440.863399730121,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
